iter	Passed	Remaining
0	57	57789
1	58	29107
2	58	19519
3	59	14708
4	59	11839
5	59	9914
6	60	8547
7	60	7526
8	61	6732
9	61	6093
10	61	5569
11	62	5124
12	62	4755
13	63	4437
14	63	4158
15	63	3913
16	64	3703
17	64	3510
18	64	3342
19	65	3187
20	65	3046
21	65	2919
22	65	2803
23	66	2696
24	66	2598
25	66	2507
26	67	2424
27	67	2347
28	68	2279
29	68	2211
30	68	2149
31	69	2093
32	69	2036
33	70	1990
34	70	1942
35	70	1895
36	71	1849
37	71	1808
38	71	1767
39	72	1729
40	72	1695
41	72	1662
42	73	1631
43	73	1601
44	74	1571
45	74	1543
46	74	1515
47	75	1487
48	75	1461
49	75	1436
50	75	1412
51	76	1388
52	76	1366
53	76	1345
54	77	1324
55	77	1306
56	77	1287
57	78	1268
58	78	1251
59	78	1234
60	79	1218
61	79	1201
62	79	1185
63	80	1170
64	80	1156
65	80	1141
66	80	1127
67	81	1115
68	81	1102
69	81	1088
70	82	1076
71	82	1064
72	82	1052
73	83	1040
74	83	1029
75	83	1018
76	84	1007
77	84	996
78	84	986
79	85	978
80	85	969
81	85	960
82	86	950
83	86	942
84	86	933
85	87	926
86	87	917
87	87	909
88	88	901
89	88	893
90	88	885
91	89	878
92	89	871
93	89	863
94	89	856
95	90	850
96	90	843
97	90	836
98	91	830
99	91	824
100	91	818
101	92	812
102	92	806
103	92	801
104	93	795
105	93	790
106	94	784
107	94	779
108	94	773
109	94	768
110	95	763
111	95	759
112	96	754
113	96	750
114	96	745
115	97	740
116	97	735
117	97	730
118	98	725
119	98	721
120	98	716
121	98	711
122	99	708
123	99	703
124	100	700
125	100	697
126	100	693
127	101	690
128	101	686
129	102	683
130	102	679
131	102	675
132	102	671
133	103	667
134	103	663
135	103	659
136	104	656
137	104	652
138	104	649
139	105	645
140	105	642
141	105	638
142	106	635
143	106	632
144	106	628
145	106	625
146	107	621
147	107	618
148	107	615
149	108	612
150	108	609
151	108	606
152	109	603
153	109	600
154	109	597
155	109	594
156	110	591
157	110	589
158	110	586
159	111	584
160	111	580
161	111	577
162	112	575
163	112	572
164	112	569
165	112	567
166	113	565
167	113	562
168	113	559
169	114	557
170	114	555
171	114	552
172	115	550
173	115	548
174	115	545
175	116	544
176	116	541
177	116	539
178	117	537
179	117	534
180	117	533
181	118	531
182	118	529
183	118	527
184	119	525
185	119	523
186	119	520
187	120	518
188	120	516
189	120	514
190	121	512
191	121	511
192	121	508
193	122	506
194	122	504
195	122	502
196	122	500
197	123	499
198	123	498
199	124	496
200	124	494
201	124	492
202	124	490
203	125	488
204	125	486
205	125	485
206	126	483
207	126	481
208	126	479
209	126	477
210	127	476
211	127	474
212	127	472
213	128	471
214	128	469
215	128	467
216	129	466
217	129	464
218	129	463
219	130	462
220	130	461
221	131	459
222	131	458
223	131	457
224	132	455
225	132	454
226	132	452
227	133	451
228	133	449
229	133	448
230	134	447
231	134	445
232	134	444
233	135	442
234	135	441
235	135	439
236	136	438
237	136	437
238	137	436
239	137	435
240	137	433
241	137	432
242	138	431
243	138	429
244	139	428
245	139	427
246	139	425
247	139	424
248	140	422
249	140	421
250	140	420
251	141	418
252	141	417
253	141	415
254	141	414
255	142	413
256	142	411
257	142	410
258	143	410
259	143	409
260	144	408
261	144	407
262	144	405
263	145	404
264	145	403
265	145	402
266	146	401
267	146	400
268	147	399
269	147	398
270	147	397
271	148	396
272	148	395
273	148	394
274	149	393
275	149	392
276	149	391
277	150	390
278	150	388
279	150	387
280	151	386
281	151	385
282	151	384
283	151	383
284	152	381
285	152	380
286	152	379
287	153	378
288	153	377
289	153	376
290	154	375
291	154	374
292	154	373
293	155	372
294	155	371
295	155	370
296	155	369
297	156	368
298	156	366
299	156	365
300	157	364
301	157	363
302	157	362
303	157	361
304	158	360
305	158	359
306	158	358
307	158	357
308	159	356
309	159	355
310	159	354
311	160	353
312	160	352
313	160	350
314	160	349
315	161	348
316	161	347
317	161	346
318	162	346
319	163	347
320	163	346
321	163	345
322	164	344
323	164	343
324	164	342
325	165	341
326	165	340
327	165	339
328	166	338
